================== ==================
        time_nosys         flux_nosys
================== ==================
 2459684.279203239 159.26654528373248
 2459684.279874426 22.736385525378456
2459684.2805459783  12.59796747273553
  2459684.28121716  8.372421980133769
 2459684.281888712  6.536762058265837
2459684.2825598945  5.118145762135301
 2459684.283231446  4.403915894060265
2459684.2839026325 3.6778635515814417
 2459684.284574184 3.3139853491576536
  2459684.28524537 2.8655696542524027
 2459684.285916921 2.6531733231469694
 2459684.286588101  2.344542750261606
 2459684.287259652 2.2094232187493357
2459684.2879308313 1.9815895057769186
2459684.2886023815 1.8911381383015575
 2459684.289273565 1.7144226168256496
2459684.2899451186  1.651412307676554
 2459684.290616297 1.5094368977025796
2459684.2912878445  1.464672233197657
2459684.2919590217 1.3473925807007139
 2459684.292630568 1.3147175410559333
2459684.2933017444 1.2157845389561959
  2459684.29397329 1.1920126805944202
2459684.2946444703   1.10706369355519
  2459684.29531602 1.0895254610276086
 2459684.295987194 1.0155372540498262
 2459684.296658737  1.002797900623935
  2459684.29732991 0.9374541144251695
2459684.2980014523  0.928426810056556
2459684.2986726244 0.8702484371579647
2459684.2993441704 0.8638957474112836
 2459684.300015341 0.8115376574719151
2459684.3006868865  0.807392807474187
2459684.3013580563 0.7600537659154845
2459684.3020295952 0.7574852661144948
 2459684.302700764 0.7144414268558145
 2459684.303372302 0.7132343351099163
  2459684.30404347 0.6737256334656306
 2459684.304715012 0.6736330998665792
 2459684.345413204                inf
 2459684.346084386 117.13351097162962
 2459684.346755938   59.6456599312109
2459684.3474271204  38.29511995183298
2459684.3480986776 29.255048801757287
2459684.3487698594 22.545882413046957
2459684.3494414166  19.14221278331762
2459684.3501125975 15.807752618680958
2459684.3507841495 14.100303530306487
2459684.3514553304 12.083114143994461
2459684.3521268815 11.080014935397166
 2459684.352798062  9.706516384048994
 2459684.353469617  9.070031258833053
2459684.3541407967  8.070007579672586
 2459684.354812351  7.639636176871293
2459684.3554835306  6.872443153369661
 2459684.356155079 6.5709170991219485
2459684.3568262574   5.96268518054942
2459684.3574978053   5.74393021502034
 2459684.358168982  5.246704538030745
2459684.3588405335  5.083897968577432
2459684.3595117154  4.669857752071006
 2459684.360183261  4.547474709880711
2459684.3608544357  4.195209648349509
2459684.3615259803  4.102173158143435
 2459684.362197154 3.7987423750097906
 2459684.362868698  3.727555898463877
 2459684.363539871  3.462944230376769
2459684.3642114177  3.407750112541506
 2459684.364882595 3.1749544736947297
 2459684.365554136 3.1324696382789896
 2459684.366225307  2.925977354080371
 2459684.366896847  2.893657531505881
 2459684.367568017  2.708056987789941
 2459684.368239556  2.683514676693283
  2459684.36891073 2.5161328055571635
 2459684.369582268  2.497810285422675
2459684.3702534405 2.3461357995694754
2459684.3709249785  2.332724555780576
 2459684.411611314                inf
2459684.4122828664  58.74607231501749
2459684.4129540487 30.081748126826323
 2459684.413625606  19.40371455951196
 2459684.414296793  14.90112240182352
2459684.4149683444 11.534960823696892
2459684.4156395267   9.84229151172755
 2459684.416311078   8.16318812321176
2459684.4169822596  7.313284861106246
 2459684.417653811  6.290801379636696
2459684.4183249916 5.7972485703377705
 2459684.418996547   5.10014014136711
2459684.4196677324  4.786470185664041
 2459684.420339282  4.276948097734013
 2459684.421010462  4.066435760713506
 2459684.421682011  3.673539736612063
2459684.4223531894 3.5264227967422523
2459684.4230247377 3.2126280505528744
2459684.4236959205  3.106949951758975
 2459684.424367468 2.8490867326445715
2459684.4250386497  2.771143998018291
2459684.4257101957  2.554724290202582
2459684.4263813714 2.4963073678566885
2459684.4270529165  2.311263709316269
2459684.4277240913 2.2676102757849534
 2459684.428395635  2.106910499273564
2459684.4290668136  2.074168063862482
 2459684.429738362 1.9333685058809376
2459684.4304095334 1.9092804336567717
2459684.4310810757 1.7844805038485045
 2459684.431752247 1.7667450396524853
2459684.4324237877 1.6553364290924812
 2459684.433094958 1.6424610295278779
2459684.4337664978 1.5418596933655604
2459684.4344376717 1.5330132329443735
2459684.4351092153  1.441998361599216
 2459684.435780384 1.4361464108403372
2459684.4364519217 1.3528720453274496
 2459684.437123089 1.3495037873940365
2459684.4782613292                inf
2459684.4789325115  39.00120709536876
2459684.4796040687   19.9878752909426
 2459684.480275251 12.918688360346732
 2459684.480946803  9.933733189607246
 2459684.481617985 7.7045112428088585
2459684.4822895364  6.580983841539131
2459684.4829607178  5.469289967616063
2459684.4836322744  4.906369192506612
  2459684.48430346  4.227683632679667
