BJD
2459684.2159101
2459684.2172528
2459684.2185955
2459684.2199382
2459684.2212809
2459684.2226237
2459684.2239664
2459684.2253091
2459684.2266518
2459684.2279945
2459684.2293372
2459684.2306800
2459684.2320227
2459684.2333654
2459684.2347081
2459684.2360508
2459684.2373936
2459684.2387363
2459684.2400790
2459684.2414217
2459684.2789600
2459684.2803028
2459684.2816455
2459684.2829882
2459684.2843309
2459684.2856736
2459684.2870163
2459684.2883591
2459684.2897018
2459684.2910445
2459684.2923872
2459684.2937299
2459684.2950727
2459684.2964154
2459684.2977581
2459684.2991008
2459684.3004435
2459684.3017862
2459684.3031290
2459684.3044717
2459684.3451699
2459684.3465126
2459684.3478554
2459684.3491981
2459684.3505408
2459684.3518835
2459684.3532262
2459684.3545690
2459684.3559117
2459684.3572544
2459684.3585971
2459684.3599398
2459684.3612825
2459684.3626253
2459684.3639680
2459684.3653107
2459684.3666534
2459684.3679961
2459684.3693389
2459684.3706816
2459684.4113683
2459684.4127111
2459684.4140538
2459684.4153965
2459684.4167392
2459684.4180819
2459684.4194247
2459684.4207674
2459684.4221101
2459684.4234528
2459684.4247955
2459684.4261382
2459684.4274810
2459684.4288237
2459684.4301664
2459684.4315091
2459684.4328518
2459684.4341945
2459684.4355373
2459684.4368800
2459684.4780179
2459684.4793606
2459684.4807034
2459684.4820461
2459684.4833888
2459684.4847315
2459684.4860742
2459684.4874169
2459684.4887597
2459684.4901024
2459684.4914451
2459684.4927878
2459684.4941305
2459684.4954733
2459684.4968160
2459684.4981587
2459684.4995014
2459684.5008441
2459684.5021869
2459684.5035296
2459684.5469596
2459684.5483023
2459684.5496450
2459684.5509878
2459684.5523305
2459684.5536732
2459684.5550159
2459684.5563586
2459684.5577013
2459684.5590441
2459684.5603868
2459684.5617295
2459684.5630722
2459684.5644149
2459684.5657577
2459684.5671004
2459684.5684431
2459684.5697858
2459684.5711285
2459684.5724713
2459684.6393413
2459684.6406840
2459684.6151723
2459684.6165151
2459684.6178578
2459684.6192005
2459684.6205432
2459684.6218859
2459684.6232287
2459684.6245714
2459684.6259141
2459684.6272568
2459684.6285995
2459684.6299423
2459684.6312850
2459684.6326277
2459684.6339704
2459684.6353131
2459684.6366559
2459684.6379986
2459684.6822620
2459684.6836048
2459684.6849475
2459684.6862902
2459684.6876329
2459684.6889756
2459684.6903184
2459684.6916611
2459684.6930038
2459684.6943465
2459684.6956892
2459684.6970320
2459684.6983747
2459684.6997174
2459684.7010601
2459684.7024029
2459684.7037456
2459684.7050883
2459684.7064310
2459684.7077737
