# %ECSV 1.0
# ---
# datatype:
# - {name: t_mjd, datatype: float64}
# - {name: t_bjd, datatype: float64}
# - {name: t_visit, datatype: float64}
# - {name: t_orbit, datatype: float64}
# - {name: ivisit, datatype: float64}
# - {name: iorbit, datatype: float64}
# - {name: scan, datatype: float64}
# - {name: spec_opt, datatype: float64}
# - {name: var_opt, datatype: float64}
# - {name: spec_box, datatype: float64}
# - {name: var_box, datatype: float64}
# schema: astropy-2.0
t_mjd t_bjd t_visit t_orbit ivisit iorbit scan spec_opt var_opt spec_box var_box
59455.215890875 2459455.721117888 18.70038002729416 18.70038002729416 0.0 0.0 1.0 666327712.7729492 682346464.1992188 665803447.6577148 684929041.484375
59455.216596989994 2459455.721823969 19.717136397957802 19.717136397957802 0.0 0.0 0.0 664832785.8105469 680821175.6640625 664346937.3349609 683373962.828125
59455.217302915 2459455.722529859 20.733617842197418 20.733617842197418 0.0 0.0 1.0 666280185.7900391 682312930.2929688 665769873.1425781 684910843.7695312
59455.218009025004 2459455.723235932 21.750363484025 21.750363484025 0.0 0.0 0.0 664756605.8339844 680718263.40625 664287245.9013672 683304665.0703125
59455.21871495 2459455.7239418197 22.76684157550335 22.76684157550335 0.0 0.0 1.0 666439783.5527344 682470677.171875 665906058.9614258 685023925.0625
59455.21942106 2459455.7246478912 23.783584535121918 23.783584535121918 0.0 0.0 0.0 664894726.0268555 680858690.4296875 664416233.5625 683416006.0390625
59455.220126989996 2459455.725353782 24.80006732046604 24.80006732046604 0.0 0.0 1.0 666323825.3608398 682301327.9257812 665799324.8720703 684877590.109375
59455.2208331 2459455.7260598517 25.816807597875595 25.816807597875595 0.0 0.0 0.0 664784761.2700195 680759538.40625 664314241.3745117 683350865.078125
59455.221539025 2459455.7267657355 26.833280324935913 26.833280324935913 0.0 0.0 1.0 666229421.0605469 682247041.0703125 665757470.9155273 684884493.921875
59455.22224514 2459455.727471808 27.85002462565899 27.85002462565899 0.0 0.0 0.0 664850719.8334961 680806691.8359375 664382193.4541016 683371616.1601562
59455.22295106 2459455.728177685 28.8664872944355 28.8664872944355 0.0 0.0 1.0 666309547.5966797 682330780.0 665775340.1533203 684909834.2851562
59455.223657174996 2459455.728883756 29.883229583501816 29.883229583501816 0.0 0.0 0.0 664854837.4472656 680811077.9492188 664371672.0292969 683371928.9570312
59455.2243631 2459455.729589636 30.899696946144104 30.899696946144104 0.0 0.0 1.0 666250664.6064453 682292117.21875 665730593.434082 684907511.3710938
59455.225069210006 2459455.7302957005 31.916429847478867 31.916429847478867 0.0 0.0 0.0 664832689.6855469 680815183.0742188 664412922.1044922 683433102.3398438
59455.22577514 2459455.731001584 32.93290190398693 32.93290190398693 0.0 0.0 1.0 666352976.3842773 682422056.2304688 665821937.9760742 684973114.4960938
59455.226481245 2459455.731707642 33.94962541759014 33.94962541759014 0.0 0.0 0.0 664797163.9282227 680740166.8632812 664329924.1416016 683330519.0273438
59455.227187175 2459455.7324135243 34.9660961329937 34.9660961329937 0.0 0.0 1.0 666165574.7485352 682163716.7382812 665636168.3735352 684732418.7460938
59455.227893285 2459455.733119586 35.98282501101494 35.98282501101494 0.0 0.0 0.0 664760356.5126953 680768239.7851562 664272115.3227539 683342378.546875
59455.22859921 2459455.7338254624 36.9992870092392 36.9992870092392 0.0 0.0 1.0 666145061.2246094 682161499.5195312 665624742.6074219 684754056.0859375
59455.229305325 2459455.7345315283 38.01602192223072 38.01602192223072 0.0 0.0 0.0 664703626.1582031 680681822.4296875 664236632.9155273 683284467.4609375
59455.230011245 2459455.735237399 39.032475873827934 39.032475873827934 0.0 0.0 1.0 666165101.6000977 682165882.53125 665649605.5224609 684758255.0507812
59455.23071736 2459455.735943464 40.04920944571495 40.04920944571495 0.0 0.0 0.0 664725111.2314453 680704961.7617188 664242441.2758789 683269102.8085938
59455.231423285004 2459455.7366493386 41.065668761730194 41.065668761730194 0.0 0.0 1.0 666136292.3486328 682145366.8125 665617520.5390625 684729988.7460938
59455.268981245 2459455.7742054434 95.14645971357822 0.0 0.0 1.0 0.0 663188450.3447266 679152854.5664062 662732045.4365234 681744779.84375
59455.269687175 2459455.774911353 96.1629693210125 1.0165096074342728 0.0 1.0 1.0 664043362.465332 680047168.515625 663509578.0102539 682618620.3945312
59455.270393285 2459455.7756174426 97.17973843216896 2.0332787185907364 0.0 1.0 0.0 663650208.2729492 679603724.3710938 663178594.2558594 682178175.7265625
59455.271099210004 2459455.776323346 98.19623932242393 3.0497796088457108 0.0 1.0 1.0 664165712.2495117 680158267.8515625 663638770.1142578 682679310.1054688
59455.271805325 2459455.77702944 99.21301446855068 4.066554754972458 0.0 1.0 0.0 663855393.7680664 679826316.3398438 663366491.5893555 682385267.3671875
59455.272511245 2459455.777735338 100.22950798273087 5.083048269152641 0.0 1.0 1.0 664242562.7001953 680263729.9570312 663719749.6069336 682862429.2265625
59455.273217359994 2459455.77844143 101.2462804466486 6.0998207330703735 0.0 1.0 0.0 664024526.0478516 679999260.3320312 663553498.4394531 682551495.4179688
59455.273923285 2459455.7791473316 102.26277865469456 7.116318941116333 0.0 1.0 1.0 664366677.8862305 680383486.4140625 663851330.862793 682967631.40625
59455.274629395004 2459455.779853418 103.27954307198524 8.13308335840702 0.0 1.0 0.0 664026584.6171875 679995019.5742188 663534516.9956055 682597559.1796875
59455.275335325 2459455.7805593233 104.29604664444923 9.14958693087101 0.0 1.0 1.0 664246560.9199219 680148428.421875 663737292.3208008 682692860.5195312
59455.27604143 2459455.7812654027 105.31280100345612 10.166341289877892 0.0 1.0 0.0 663989799.4624023 679984470.6484375 663515026.6235352 682549656.71875
