# %ECSV 1.0
# ---
# datatype:
# - {name: nspectra, datatype: float64}
# - {name: t_mjd, datatype: float64}
# - {name: numoutliers, datatype: float64}
# - {name: skymedian, datatype: float64}
# - {name: '# nans', datatype: float64}
# schema: astropy-2.0
nspectra t_mjd numoutliers skymedian "# nans"
97.0 59455.345740505 23.0 25.228199005126953 0.0
98.0 59455.346446434996 41.0 28.96262550354004 0.0
99.0 59455.347152539995 27.0 22.10880470275879 0.0
100.0 59455.347858470006 38.0 29.092273712158203 0.0
101.0 59455.34856458 32.0 22.20827865600586 0.0
102.0 59455.349270505 39.0 29.753894805908203 0.0
103.0 59455.34997662 30.0 23.624221801757812 0.0
104.0 59455.350682539996 40.0 28.765670776367188 0.0
105.0 59455.351388655 28.0 22.265134811401367 0.0
106.0 59455.35209458 39.0 29.061424255371094 0.0
107.0 59455.35280069 26.0 25.179855346679688 0.0
108.0 59455.35350662 43.0 34.2156982421875 0.0
109.0 59455.35421273 26.0 25.188257217407227 0.0
110.0 59455.354918655 42.0 30.495380401611328 0.0
111.0 59455.355624765 29.0 22.966793060302734 0.0
112.0 59455.35633069 41.0 29.357635498046875 0.0
113.0 59455.357036805 24.0 24.692724227905273 0.0
114.0 59455.35774273 38.0 28.81985092163086 0.0
115.0 59455.358448839994 28.0 20.63021469116211 0.0
116.0 59455.359154765 39.0 30.077266693115234 0.0
117.0 59455.359860875 25.0 21.737585067749023 0.0
118.0 59455.360566805 43.0 31.551345825195312 0.0
119.0 59455.361272915005 28.0 23.981847763061523 0.0
120.0 59455.361978839996 36.0 25.149593353271484 0.0
121.0 59455.36268495 27.0 25.740171432495117 0.0
122.0 59455.363390875 37.0 30.911731719970703 0.0
123.0 59455.36409699 26.0 22.42771339416504 0.0
124.0 59455.40133069 37.0 28.775959014892578 0.0
125.0 59455.402036805 30.0 26.41743278503418 0.0
126.0 59455.40274273 37.0 28.745105743408203 0.0
127.0 59455.40344884 26.0 22.237281799316406 0.0
128.0 59455.404154765 40.0 28.707794189453125 0.0
129.0 59455.404860875 25.0 25.752761840820312 0.0
130.0 59455.405566805 38.0 27.27787971496582 0.0
131.0 59455.406272915 23.0 24.453826904296875 0.0
132.0 59455.406978839994 38.0 33.907806396484375 0.0
133.0 59455.40768495 26.0 25.00271224975586 0.0
134.0 59455.408390875 38.0 29.150463104248047 0.0
135.0 59455.40909699 29.0 26.570762634277344 0.0
136.0 59455.409802915005 35.0 31.063379287719727 0.0
137.0 59455.410509025 26.0 21.911470413208008 0.0
138.0 59455.41121495 37.0 29.28182029724121 0.0
139.0 59455.411921060004 26.0 27.10881805419922 0.0
140.0 59455.41262699 38.0 30.217761993408203 0.0
141.0 59455.4133331 26.0 27.89886474609375 0.0
142.0 59455.414039024996 38.0 27.217533111572266 0.0
143.0 59455.414745140006 28.0 24.654434204101562 0.0
144.0 59455.415451060006 35.0 29.170394897460938 0.0
145.0 59455.416157175 30.0 24.066307067871094 0.0
146.0 59455.4168631 39.0 31.528663635253906 0.0
147.0 59455.417569209996 27.0 23.70844268798828 0.0
148.0 59455.41827514 38.0 30.878149032592773 0.0
149.0 59455.418981245 31.0 21.856168746948242 0.0
150.0 59455.419687175 37.0 29.574705123901367 0.0
151.0 59455.420393285 25.0 22.220855712890625 0.0
152.0 59455.42109921 38.0 35.757843017578125 0.0
153.0 59455.421805325 25.0 22.980358123779297 0.0
154.0 59455.422511245 42.0 25.892732620239258 0.0
155.0 59455.42321736 25.0 24.53059959411621 0.0
156.0 59455.423923285 37.0 29.805885314941406 0.0
157.0 59455.424629395 25.0 24.401914596557617 0.0
158.0 59455.425335325 40.0 26.923664093017578 0.0
159.0 59455.42604143 26.0 24.128847122192383 0.0
160.0 59455.426747360005 42.0 32.27583312988281 0.0
161.0 59455.42745347 29.0 23.734989166259766 0.0
162.0 59455.428159395 40.0 30.484853744506836 0.0
163.0 59455.428865509995 29.0 24.123136520385742 0.0
164.0 59455.429571429995 40.0 29.36035919189453 0.0
165.0 59455.430277545 33.0 21.730937957763672 0.0
166.0 59455.467488099996 39.0 29.677902221679688 0.0
167.0 59455.46819421 26.0 26.945606231689453 0.0
168.0 59455.468900135 43.0 31.202369689941406 0.0
169.0 59455.46960625 28.0 26.139738082885742 0.0
170.0 59455.47031217 37.0 31.269084930419922 0.0
171.0 59455.471018284996 24.0 23.95426368713379 0.0
172.0 59455.47172421 41.0 28.911161422729492 0.0
173.0 59455.472430320006 29.0 25.265827178955078 0.0
174.0 59455.47313625 39.0 31.315168380737305 0.0
175.0 59455.473842355 22.0 26.091827392578125 0.0
176.0 59455.474548285 38.0 33.50044250488281 0.0
177.0 59455.475254395 25.0 24.62427520751953 0.0
178.0 59455.47596032 39.0 30.156871795654297 0.0
179.0 59455.476666435 25.0 24.31964683532715 0.0
180.0 59455.477372355 38.0 28.82294464111328 0.0
181.0 59455.47807847 25.0 22.60009002685547 0.0
182.0 59455.478784395 37.0 31.42276382446289 0.0
183.0 59455.479490505 25.0 24.71593475341797 0.0
184.0 59455.480196435004 38.0 29.618335723876953 0.0
185.0 59455.48090254 25.0 22.684741973876953 0.0
186.0 59455.48160847 41.0 30.105995178222656 0.0
187.0 59455.482314580004 27.0 23.62745475769043 0.0
188.0 59455.483020505 38.0 31.537616729736328 0.0
189.0 59455.483726620005 28.0 20.382585525512695 0.0
190.0 59455.484432540004 37.0 28.340930938720703 0.0
191.0 59455.485138655 26.0 23.757675170898438 0.0
192.0 59455.48584458 37.0 26.983592987060547 0.0
193.0 59455.486550689995 29.0 22.766698837280273 0.0
194.0 59455.48725662 41.0 29.230722427368164 0.0
195.0 59455.48796273 30.0 24.521442413330078 0.0
196.0 59455.488668655 39.0 31.00223731994629 0.0
197.0 59455.489374765 22.0 24.562129974365234 0.0
198.0 59455.49008069 37.0 29.210290908813477 0.0
199.0 59455.490786805 27.0 19.86666488647461 0.0
200.0 59455.49149273 39.0 27.684537887573242 0.0
201.0 59455.49219884 25.0 25.154563903808594 0.0
202.0 59455.492904765 40.0 29.801727294921875 0.0
203.0 59455.493610875 23.0 27.283952713012695 0.0
204.0 59455.494316805 35.0 28.52349281311035 0.0
205.0 59455.495022915 27.0 25.75151824951172 0.0
206.0 59455.495728840004 42.0 28.884754180908203 0.0
207.0 59455.49643495 29.0 25.201078414916992 0.0
208.0 59455.533657175 38.0 32.98402404785156 0.0
209.0 59455.534363285 29.0 26.955921173095703 0.0
210.0 59455.535069210004 38.0 31.082813262939453 0.0
211.0 59455.535775325 26.0 25.44777488708496 0.0
212.0 59455.536481245 39.0 31.66824722290039 0.0
213.0 59455.537187359994 26.0 25.367307662963867 0.0
214.0 59455.537893285 37.0 27.23779296875 0.0
215.0 59455.538599395004 28.0 24.244367599487305 0.0
216.0 59455.539305325 35.0 32.16057586669922 0.0
217.0 59455.54001143 28.0 24.373167037963867 0.0
218.0 59455.540717359996 43.0 27.077821731567383 0.0
219.0 59455.54142347 26.0 23.2880859375 0.0
220.0 59455.542129395 38.0 29.376041412353516 0.0
221.0 59455.54283551 27.0 21.559017181396484 0.0
222.0 59455.54354143 43.0 26.664684295654297 0.0
223.0 59455.544247544996 32.0 26.265872955322266 0.0
224.0 59455.54495347 38.0 27.869352340698242 0.0
225.0 59455.545659580006 28.0 24.718231201171875 0.0
226.0 59455.54636551 41.0 30.11764907836914 0.0
227.0 59455.547071615 27.0 24.176790237426758 0.0
228.0 59455.547777545 38.0 28.4577693939209 0.0
229.0 59455.548483655 28.0 25.39008140563965 0.0
230.0 59455.54918958 40.0 31.314899444580078 0.0
231.0 59455.549895695 30.0 23.136430740356445 0.0
232.0 59455.550601615 36.0 30.62472152709961 0.0
233.0 59455.55130773 24.0 22.988903045654297 0.0
234.0 59455.552013655004 40.0 28.64208221435547 0.0
235.0 59455.552719765 28.0 22.59991455078125 0.0
236.0 59455.553425695 39.0 28.492176055908203 0.0
237.0 59455.5541318 32.0 27.299970626831055 0.0
238.0 59455.55483773 41.0 28.830856323242188 0.0
239.0 59455.55554384 27.0 26.63515853881836 0.0
240.0 59455.556249764995 40.0 29.914764404296875 0.0
241.0 59455.556955880005 25.0 23.10301971435547 0.0
242.0 59455.557661800005 43.0 28.554594039916992 0.0
243.0 59455.558367915 25.0 21.767093658447266 0.0
244.0 59455.55907384 37.0 28.833829879760742 0.0
245.0 59455.559779949996 24.0 23.99303436279297 0.0
246.0 59455.56048588 39.0 28.25363540649414 0.0
247.0 59455.561191985 28.0 22.118328094482422 0.0
248.0 59455.561897915 41.0 32.49584197998047 0.0
249.0 59455.562604025 26.0 25.31151580810547 0.0
250.0 59455.600555325 40.0 32.56255340576172 0.0
251.0 59455.60126143 25.0 27.907791137695312 0.0
252.0 59455.601967359995 40.0 31.722759246826172 0.0
253.0 59455.60267347 29.0 26.442480087280273 0.0
254.0 59455.603379395005 40.0 31.111804962158203 0.0
