BJD
2459455.709544
2459455.710956
2459455.712368
2459455.713780
2459455.715192
2459455.716604
2459455.718016
2459455.719428
2459455.720840
2459455.722252
2459455.723664
2459455.725076
2459455.726488
2459455.727900
2459455.729312
2459455.730724
2459455.732136
2459455.733548
2459455.734960
2459455.736372
2459455.774634
2459455.776046
2459455.777458
2459455.778870
2459455.780282
2459455.781694
2459455.783105
2459455.784517
2459455.785929
2459455.787341
2459455.788753
2459455.790165
2459455.791577
2459455.792989
2459455.794401
2459455.795813
2459455.797225
2459455.798637
2459455.800049
2459455.801461
2459455.802873
2459455.840799
2459455.842211
2459455.843623
2459455.845035
2459455.846447
2459455.847859
2459455.849271
2459455.850683
2459455.852095
2459455.853507
2459455.854919
2459455.856331
2459455.857743
2459455.859155
2459455.860567
2459455.861979
2459455.863391
2459455.864803
2459455.866215
2459455.867627
2459455.869039
2459455.906976
2459455.908388
2459455.909800
2459455.911212
2459455.912624
2459455.914036
2459455.915448
2459455.916860
2459455.918272
2459455.919684
2459455.921096
2459455.922508
2459455.923920
2459455.925332
2459455.926744
2459455.928156
2459455.929568
2459455.930980
2459455.932392
2459455.933804
2459455.935216
2459455.973130
2459455.974542
2459455.975954
2459455.977366
2459455.978778
2459455.980190
2459455.981602
2459455.983014
2459455.984426
2459455.985838
2459455.987250
2459455.988662
2459455.990074
2459455.991486
2459455.992898
2459455.994310
2459455.995722
2459455.997134
2459455.998546
2459455.999958
2459456.001370
2459456.039296
2459456.040708
2459456.042120
2459456.043532
2459456.044944
2459456.046356
2459456.047768
2459456.049180
2459456.050592
2459456.052004
2459456.053416
2459456.054828
2459456.056240
2459456.057652
2459456.059064
2459456.060476
2459456.061888
2459456.063300
2459456.064712
2459456.066123
2459456.067535
2459456.106191
2459456.107603
2459456.109015
2459456.110427
2459456.111839
2459456.113251
2459456.114663
2459456.116075
2459456.117487
2459456.118899
2459456.120311
2459456.121723
2459456.123134
2459456.124546
2459456.125958
2459456.127370
2459456.128782
2459456.130194
2459456.131606
2459456.133018
2459456.176535
2459456.177946
2459456.179358
2459456.180770
2459456.182182
2459456.183594
2459456.185006
2459456.186418
2459456.187830
2459456.189242
2459456.190654
2459456.192066
2459456.193478
2459456.194890
2459456.196302
2459456.197714
2459456.199126
