================== ===== ====== ====== ======== ================== ================== ================== ==== ======== ==================
         filenames instr ivisit iorbit iexp_orb              t_mjd            t_visit            t_orbit scan      exp              t_bjd
================== ===== ====== ====== ======== ================== ================== ================== ==== ======== ==================
ie4h07d0q_ima.fits F164N      0      0       -1 59455.202904025005                0.0                0.0   -1 0.833445  2459455.708131513
ie4h07d1q_ima.fits  G141      0      0        0    59455.203888655 1.4178257435560226 1.4178257435560226    0 4.970405 2459455.7091161143
ie4h07d2q_ima.fits  G141      0      0        1     59455.20459458 2.4343279749155045 2.4343279749155045    1 4.970405 2459455.7098220186
ie4h07d3q_ima.fits  G141      0      0        2 59455.205300689995 3.4510957449674606 3.4510957449674606    0 4.970405 2459455.7105281074
ie4h07d4q_ima.fits  G141      0      0        3     59455.20600662  4.467603340744972  4.467603340744972    1 4.970405 2459455.7112340154
ie4h07d5q_ima.fits  G141      0      0        4     59455.20671273  5.484370440244675  5.484370440244675    0 4.970405 2459455.7119401037
ie4h07d6q_ima.fits  G141      0      0        5    59455.207418655  6.500868648290634  6.500868648290634    1 4.970405  2459455.712646005
ie4h07d8q_ima.fits  G141      0      0        6    59455.208124765  7.517633736133575  7.517633736133575    0 4.970405  2459455.713352092
ie4h07d9q_ima.fits  G141      0      0        7     59455.20883069  8.534130603075027  8.534130603075027    1 4.970405 2459455.7140579927
ie4h07daq_ima.fits  G141      0      0        8    59455.209536805  9.550899714231491  9.550899714231491    0 4.970405 2459455.7147640823
ie4h07dbq_ima.fits  G141      0      0        9     59455.21024273 10.567395240068436 10.567395240068436    1 4.970405  2459455.715469982
ie4h07dcq_ima.fits  G141      0      0       10     59455.21094884 11.584154963493347 11.584154963493347    0 4.970405  2459455.716176065
ie4h07ddq_ima.fits  G141      0      0       11    59455.211654765 12.600647807121277 12.600647807121277    1 4.970405  2459455.716881963
ie4h07deq_ima.fits  G141      0      0       12    59455.212360875 13.617405518889427 13.617405518889427    0 4.970405 2459455.7175880447
ie4h07dfq_ima.fits  G141      0      0       13    59455.213066805  14.63390238583088  14.63390238583088    1 4.970405 2459455.7182939453
ie4h07dgq_ima.fits  G141      0      0       14    59455.213772915 15.650656744837761 15.650656744837761    0 4.970405 2459455.7190000247
ie4h07dhq_ima.fits  G141      0      0       15 59455.214478840004  16.66714422404766  16.66714422404766    1 4.970405  2459455.719705919
ie4h07diq_ima.fits  G141      0      0       16     59455.21518495 17.683895900845528 17.683895900845528    0 4.970405 2459455.7204119964
ie4h07djq_ima.fits  G141      0      0       17    59455.215890875  18.70038002729416  18.70038002729416    1 4.970405  2459455.721117888
ie4h07dkq_ima.fits  G141      0      0       18 59455.216596989994 19.717136397957802 19.717136397957802    0 4.970405  2459455.721823969
ie4h07dlq_ima.fits  G141      0      0       19    59455.217302915 20.733617842197418 20.733617842197418    1 4.970405  2459455.722529859
ie4h07dmq_ima.fits  G141      0      0       20 59455.218009025004    21.750363484025    21.750363484025    0 4.970405  2459455.723235932
ie4h07dnq_ima.fits  G141      0      0       21     59455.21871495  22.76684157550335  22.76684157550335    1 4.970405 2459455.7239418197
ie4h07doq_ima.fits  G141      0      0       22     59455.21942106 23.783584535121918 23.783584535121918    0 4.970405 2459455.7246478912
ie4h07dpq_ima.fits  G141      0      0       23 59455.220126989996  24.80006732046604  24.80006732046604    1 4.970405  2459455.725353782
ie4h07dqq_ima.fits  G141      0      0       24      59455.2208331 25.816807597875595 25.816807597875595    0 4.970405 2459455.7260598517
ie4h07drq_ima.fits  G141      0      0       25    59455.221539025 26.833280324935913 26.833280324935913    1 4.970405 2459455.7267657355
ie4h07dsq_ima.fits  G141      0      0       26     59455.22224514  27.85002462565899  27.85002462565899    0 4.970405  2459455.727471808
ie4h07dtq_ima.fits  G141      0      0       27     59455.22295106   28.8664872944355   28.8664872944355    1 4.970405  2459455.728177685
ie4h07duq_ima.fits  G141      0      0       28 59455.223657174996 29.883229583501816 29.883229583501816    0 4.970405  2459455.728883756
ie4h07dvq_ima.fits  G141      0      0       29      59455.2243631 30.899696946144104 30.899696946144104    1 4.970405  2459455.729589636
ie4h07dwq_ima.fits  G141      0      0       30 59455.225069210006 31.916429847478867 31.916429847478867    0 4.970405 2459455.7302957005
ie4h07dxq_ima.fits  G141      0      0       31     59455.22577514  32.93290190398693  32.93290190398693    1 4.970405  2459455.731001584
ie4h07dyq_ima.fits  G141      0      0       32    59455.226481245  33.94962541759014  33.94962541759014    0 4.970405  2459455.731707642
ie4h07dzq_ima.fits  G141      0      0       33    59455.227187175   34.9660961329937   34.9660961329937    1 4.970405 2459455.7324135243
ie4h07e0q_ima.fits  G141      0      0       34    59455.227893285  35.98282501101494  35.98282501101494    0 4.970405  2459455.733119586
ie4h07e1q_ima.fits  G141      0      0       35     59455.22859921   36.9992870092392   36.9992870092392    1 4.970405 2459455.7338254624
ie4h07e2q_ima.fits  G141      0      0       36    59455.229305325  38.01602192223072  38.01602192223072    0 4.970405 2459455.7345315283
ie4h07e3q_ima.fits  G141      0      0       37    59455.230011245 39.032475873827934 39.032475873827934    1 4.970405  2459455.735237399
ie4h07e4q_ima.fits  G141      0      0       38     59455.23071736  40.04920944571495  40.04920944571495    0 4.970405  2459455.735943464
ie4h07e5q_ima.fits  G141      0      0       39 59455.231423285004 41.065668761730194 41.065668761730194    1 4.970405 2459455.7366493386
ie4h08e9q_ima.fits  G141      0      1        0    59455.268981245  95.14645971357822                0.0    0 4.970405 2459455.7742054434
ie4h08eaq_ima.fits  G141      0      1        1    59455.269687175   96.1629693210125 1.0165096074342728    1 4.970405  2459455.774911353
ie4h08ebq_ima.fits  G141      0      1        2    59455.270393285  97.17973843216896 2.0332787185907364    0 4.970405 2459455.7756174426
ie4h08ecq_ima.fits  G141      0      1        3 59455.271099210004  98.19623932242393 3.0497796088457108    1 4.970405  2459455.776323346
ie4h08edq_ima.fits  G141      0      1        4    59455.271805325  99.21301446855068  4.066554754972458    0 4.970405   2459455.77702944
ie4h08eeq_ima.fits  G141      0      1        5    59455.272511245 100.22950798273087  5.083048269152641    1 4.970405  2459455.777735338
ie4h08efq_ima.fits  G141      0      1        6 59455.273217359994  101.2462804466486 6.0998207330703735    0 4.970405   2459455.77844143
ie4h08egq_ima.fits  G141      0      1        7    59455.273923285 102.26277865469456  7.116318941116333    1 4.970405 2459455.7791473316
ie4h08ehq_ima.fits  G141      0      1        8 59455.274629395004 103.27954307198524   8.13308335840702    0 4.970405  2459455.779853418
ie4h08eiq_ima.fits  G141      0      1        9    59455.275335325 104.29604664444923   9.14958693087101    1 4.970405 2459455.7805593233
ie4h08ejq_ima.fits  G141      0      1       10     59455.27604143 105.31280100345612 10.166341289877892    0 4.970405 2459455.7812654027
