================== ===== ====== ====== ======== ================== ================== ================== ==== ======== ==================
ie4h08ekq_ima.fits  G141      0      1       11 59455.276747359996 106.32930256426334  11.18284285068512    1 4.970405 2459455.7819713065
ie4h08elq_ima.fits  G141      0      1       12     59455.27745347 107.34606228768826 12.199602574110031    0 4.970405 2459455.7826773897
ie4h08emq_ima.fits  G141      0      1       13    59455.278159395 108.36255379021168 13.216094076633453    1 4.970405 2459455.7833832866
ie4h08enq_ima.fits  G141      0      1       14     59455.27886551 109.37931820750237 14.232858493924141    0 4.970405  2459455.784089373
ie4h08eoq_ima.fits  G141      0      1       15     59455.27957143 110.39579965174198 15.249339938163757    1 4.970405  2459455.784795263
ie4h08epq_ima.fits  G141      0      1       16 59455.280277544996 111.41256138682365  16.26610167324543    0 4.970405 2459455.7855013474
ie4h08eqq_ima.fits  G141      0      1       17     59455.28098347  112.4290468543768  17.28258714079857    1 4.970405   2459455.78620724
ie4h08erq_ima.fits  G141      0      1       18 59455.281689580006 113.44579853117466 18.299338817596436    0 4.970405 2459455.7869133176
ie4h08esq_ima.fits  G141      0      1       19     59455.28239551 114.46228869259357  19.31582897901535    1 4.970405 2459455.7876192136
ie4h08etq_ima.fits  G141      0      1       20    59455.283101615 115.47902964055538 20.332569926977158    0 4.970405 2459455.7883252837
ie4h08euq_ima.fits  G141      0      1       21    59455.283807545 116.49551711976528 21.349057406187057    1 4.970405 2459455.7890311778
ie4h08evq_ima.fits  G141      0      1       22    59455.284513655 117.51226276159286  22.36580304801464    0 4.970405  2459455.789737251
ie4h08ewq_ima.fits  G141      0      1       23     59455.28521958 118.52874018251896 23.382280468940735    1 4.970405  2459455.790443138
ie4h08exq_ima.fits  G141      0      1       24    59455.285925695 119.54548984766006  24.39903013408184    0 4.970405 2459455.7911492144
ie4h08eyq_ima.fits  G141      0      1       25    59455.286631615  120.5619565397501 25.415496826171875    1 4.970405  2459455.791855094
ie4h08ezq_ima.fits  G141      0      1       26     59455.28733773 121.57870419323444  26.43224447965622    0 4.970405  2459455.792561169
ie4h08f0q_ima.fits  G141      0      1       27 59455.288043655004 122.59517557919025  27.44871586561203    1 4.970405 2459455.7932670517
ie4h08f1q_ima.fits  G141      0      1       28    59455.288749765 123.61191250383854 28.465452790260315    0 4.970405  2459455.793973119
ie4h08f2q_ima.fits  G141      0      1       29    59455.289455695 124.62838858366013   29.4819288700819    1 4.970405  2459455.794679005
ie4h08f3q_ima.fits  G141      0      1       30      59455.2901618 125.64511612057686 30.498656406998634    0 4.970405  2459455.795385066
ie4h08f4q_ima.fits  G141      0      1       31     59455.29086773 126.66159018874168  31.51513047516346    1 4.970405 2459455.7960909507
ie4h08f5q_ima.fits  G141      0      1       32     59455.29157384 127.67832241952419  32.53186270594597    0 4.970405  2459455.796797015
ie4h08f6q_ima.fits  G141      0      1       33 59455.292279764995 128.69478709995747  33.54832738637924    1 4.970405  2459455.797502893
ie4h08f7q_ima.fits  G141      0      1       34 59455.292985880005 129.71152402460575  34.56506431102753    0 4.970405 2459455.7982089603
ie4h08f8q_ima.fits  G141      0      1       35 59455.293691800005 130.72797998785973   35.5815202742815    1 4.970405 2459455.7989148325
ie4h08f9q_ima.fits  G141      0      1       36    59455.294397915  131.7447155714035  36.59825585782528    0 4.970405  2459455.799620899
ie4h08faq_ima.fits  G141      0      1       37     59455.29510384 132.76117756962776  37.61471785604954    1 4.970405 2459455.8003267753
ie4h08fbq_ima.fits  G141      0      1       38 59455.295809949996  133.7779051065445  38.63144539296627    0 4.970405  2459455.801032836
ie4h08fcq_ima.fits  G141      0      1       39     59455.29651588 134.79437246918678  39.64791275560856    1 4.970405  2459455.801738716
ie4h08fdq_ima.fits  G141      0      1       40    59455.297221985 135.81109128892422  40.66463157534599    0 4.970405  2459455.802444771
ie4h08feq_ima.fits  G141      0      1       41    59455.297927915 136.82755798101425  41.68109826743603    1 4.970405 2459455.8031506506
ie4h09fgq_ima.fits  G141      0      2        0    59455.335150135 190.42491294443607                0.0    0 4.970405  2459455.840371036
ie4h09fhq_ima.fits  G141      0      2        1     59455.33585625 191.44168876111507 1.0167758166790009    1 4.970405 2459455.8410771303
ie4h09fiq_ima.fits  G141      0      2        2     59455.33656217 192.45818361639977 2.0332706719636917    0 4.970405 2459455.8417830295
ie4h09fjq_ima.fits  G141      0      2        3    59455.337268285  193.4749587625265  3.050045818090439    1 4.970405 2459455.8424891233
ie4h09fkq_ima.fits  G141      0      2        4     59455.33797421 194.49145898222923 4.0665460377931595    0 4.970405 2459455.8431950263
ie4h09flq_ima.fits  G141      0      2        5     59455.33868032 195.50822541117668  5.083312466740608    1 4.970405  2459455.843901114
ie4h09fmq_ima.fits  G141      0      2        6 59455.339386249994 196.52473233640194  6.099819391965866    0 4.970405 2459455.8446070217
ie4h09fnq_ima.fits  G141      0      2        7    59455.340092355  197.5414900481701  7.116577103734016    1 4.970405 2459455.8453131034
ie4h09foq_ima.fits  G141      0      2        8 59455.340798285004 198.55799429118633   8.13308134675026    0 4.970405  2459455.846019009
ie4h09fpq_ima.fits  G141      0      2        9    59455.341504395  199.5747573673725   9.14984442293644    1 4.970405 2459455.8467250946
ie4h09fqq_ima.fits  G141      0      2       10     59455.34221032  200.5912522226572  10.16633927822113    0 4.970405  2459455.847430994
ie4h09frq_ima.fits  G141      0      2       11    59455.342916435  201.6080206632614  11.18310771882534    1 4.970405  2459455.848137083
ie4h09fsq_ima.fits  G141      0      2       12    59455.343622355  202.6245054602623 12.199592515826225    0 4.970405  2459455.848842975
ie4h09ftq_ima.fits  G141      0      2       13 59455.344328470004  203.6412712186575  13.21635827422142    1 4.970405 2459455.8495490626
ie4h09fuq_ima.fits  G141      0      2       14 59455.345034394995  204.6577613800764 14.232848435640335    0 4.970405 2459455.8502549585
ie4h09fvq_ima.fits  G141      0      2       15    59455.345740505  205.6745170801878 15.249604135751724    1 4.970405  2459455.850961039
ie4h09fwq_ima.fits  G141      0      2       16 59455.346446434996 206.69101126492023  16.26609832048416    0 4.970405 2459455.8516669376
ie4h09fxq_ima.fits  G141      0      2       17 59455.347152539995 207.70775690674782 17.282843962311745    1 4.970405  2459455.852373011
ie4h09fyq_ima.fits  G141      0      2       18 59455.347858470006 208.72424840927124 18.299335464835167    0 4.970405  2459455.853078908
ie4h09fzq_ima.fits  G141      0      2       19     59455.34856458  209.7409987449646 19.316085800528526    1 4.970405 2459455.8537849844
ie4h09g0q_ima.fits  G141      0      2       20    59455.349270505 210.75748018920422 20.332567244768143    0 4.970405 2459455.8544908743
ie4h09g1q_ima.fits  G141      0      2       21     59455.34997662 211.77423387765884  21.34932093322277    1 4.970405 2459455.8551969533
ie4h09g2q_ima.fits  G141      0      2       22 59455.350682539996 212.79070526361465  22.36579231917858    0 4.970405  2459455.855902836
ie4h09g3q_ima.fits  G141      0      2       23    59455.351388655 213.80745694041252 23.382543995976448    1 4.970405 2459455.8566089137
ie4h09g4q_ima.fits  G141      0      2       24     59455.35209458 214.82393234968185  24.39901940524578    0 4.970405 2459455.8573147994
ie4h09g5q_ima.fits  G141      0      2       25     59455.35280069 215.84067329764366 25.415760353207588    1 4.970405 2459455.8580208695
ie4h09g6q_ima.fits  G141      0      2       26     59455.35350662 216.85715340077877 26.432240456342697    0 4.970405 2459455.8587267585
ie4h09g7q_ima.fits  G141      0      2       27     59455.35421273 217.87389166653156  27.44897872209549    1 4.970405 2459455.8594328267
ie4h09g8q_ima.fits  G141      0      2       28    59455.354918655 218.89036171138287 28.465448766946793    0 4.970405 2459455.8601387087
ie4h09g9q_ima.fits  G141      0      2       29    59455.355624765  219.9070979654789 29.482185021042824    1 4.970405 2459455.8608447756
ie4h09gaq_ima.fits  G141      0      2       30     59455.35633069 220.92356532812119 30.498652383685112    0 4.970405 2459455.8615506557
ie4h09gbq_ima.fits  G141      0      2       31    59455.357036805 221.94030560553074 31.515392661094666    1 4.970405 2459455.8622567253
ie4h09gcq_ima.fits  G141      0      2       32     59455.35774273 222.95677162706852 32.531858682632446    0 4.970405 2459455.8629626045
ie4h09gdq_ima.fits  G141      0      2       33 59455.358448839994 223.97350318729877   33.5485902428627    1 4.970405  2459455.863668668
ie4h09geq_ima.fits  G141      0      2       34    59455.359154765 224.98996652662754  34.56505358219147    0 4.970405 2459455.8643745454
ie4h09gfq_ima.fits  G141      0      2       35    59455.359860875 226.00669607520103  35.58178313076496    1 4.970405 2459455.8650806076
ie4h09ggq_ima.fits  G141      0      2       36    59455.360566805 227.02316544950008  36.59825250506401    0 4.970405  2459455.865786489
ie4h09ghq_ima.fits  G141      0      2       37 59455.361272915005 228.03989231586456  37.61497937142849    1 4.970405 2459455.8664925494
ie4h09giq_ima.fits  G141      0      2       38 59455.361978839996 229.05635364353657 38.631440699100494    0 4.970405 2459455.8671984253
ie4h09gjq_ima.fits  G141      0      2       39     59455.36268495 230.07308050990105  39.64816756546497    1 4.970405 2459455.8679044857
ie4h09gkq_ima.fits  G141      0      2       40    59455.363390875 231.08954049646854  40.66462755203247    0 4.970405 2459455.8686103607
ie4h09glq_ima.fits  G141      0      2       41     59455.36409699  232.1062733978033  41.68136045336723    1 4.970405  2459455.869316425
ie4h10gnq_ima.fits  G141      0      3        0     59455.40133069  285.7201534509659                0.0    0 4.970405 2459455.9065482863
ie4h10goq_ima.fits  G141      0      3        1    59455.402036805  286.7369292676449 1.0167758166790009    1 4.970405 2459455.9072543806
ie4h10gpq_ima.fits  G141      0      3        2     59455.40274273  287.7534308284521  2.033277377486229    0 4.970405 2459455.9079602845
ie4h10gqq_ima.fits  G141      0      3        3     59455.40344884  288.7701992690563  3.050045818090439    1 4.970405 2459455.9086663737
ie4h10grq_ima.fits  G141      0      3        4    59455.404154765 289.78669948875904 4.0665460377931595    0 4.970405 2459455.9093722766
ie4h10gsq_ima.fits  G141      0      3        5    59455.404860875  290.8034659177065  5.083312466740608    1 4.970405 2459455.9100783644
ie4h10gtq_ima.fits  G141      0      3        6    59455.405566805  291.8199721723795  6.099818721413612    0 4.970405 2459455.9107842715
ie4h10guq_ima.fits  G141      0      3        7    59455.406272915 292.83673726022243  7.116583809256554    1 4.970405 2459455.9114903584
ie4h10gvq_ima.fits  G141      0      3        8 59455.406978839994  293.8532341271639  8.133080676198006    0 4.970405  2459455.912196259
ie4h10gwq_ima.fits  G141      0      3        9     59455.40768495 294.86999720335007  9.149843752384186    1 4.970405 2459455.9129023445
ie4h10gxq_ima.fits  G141      0      3       10    59455.408390875 295.88649205863476 10.166338607668877    0 4.970405 2459455.9136082437
ie4h10gyq_ima.fits  G141      0      3       11     59455.40909699 296.90325915813446 11.183105707168579    1 4.970405  2459455.914314332
ie4h10gzq_ima.fits  G141      0      3       12 59455.409802915005 297.91975267231464 12.199599221348763    0 4.970405   2459455.91502023
ie4h10h0q_ima.fits  G141      0      3       13    59455.410509025  298.9365103840828 13.216356933116913    1 4.970405  2459455.915726312
ie4h10h1q_ima.fits  G141      0      3       14     59455.41121495  299.9530005455017 14.232847094535828    0 4.970405  2459455.916432208
ie4h10h2q_ima.fits  G141      0      3       15 59455.411921060004 300.96975557506084 15.249602124094963    1 4.970405  2459455.917138288
ie4h10h3q_ima.fits  G141      0      3       16     59455.41262699 301.98625043034554 16.266096979379654    0 4.970405  2459455.917844187
ie4h10h4q_ima.fits  G141      0      3       17      59455.4133331  303.0030021071434  17.28284865617752    1 4.970405 2459455.9185502646
ie4h10h5q_ima.fits  G141      0      3       18 59455.414039024996 304.01948757469654  18.29933412373066    0 4.970405 2459455.9192561572
ie4h10h6q_ima.fits  G141      0      3       19 59455.414745140006  305.0362439453602 19.316090494394302    1 4.970405  2459455.919962238
ie4h10h7q_ima.fits  G141      0      3       20 59455.415451060006   306.052718013525 20.332564562559128    0 4.970405  2459455.920668123
ie4h10h8q_ima.fits  G141      0      3       21    59455.416157175 307.06947170197964 21.349318251013756    1 4.970405  2459455.921374202
ie4h10h9q_ima.fits  G141      0      3       22      59455.4168631  308.0859511345625  22.36579768359661    0 4.970405 2459455.9220800903
ie4h10haq_ima.fits  G141      0      3       23 59455.417569209996 309.10269409418106  23.38254064321518    1 4.970405  2459455.922786162
ie4h10hbq_ima.fits  G141      0      3       24     59455.41827514 310.11917755007744 24.399024099111557    0 4.970405  2459455.923492053
ie4h10hcq_ima.fits  G141      0      3       25    59455.418981245  311.1359104514122  25.41575700044632    1 4.970405 2459455.9241981176
ie4h10hdq_ima.fits  G141      0      3       26    59455.419687175 312.15239122509956 26.432237774133682    0 4.970405  2459455.924904007
ie4h10heq_ima.fits  G141      0      3       27    59455.420393285  313.1691288203001  27.44897536933422    1 4.970405  2459455.925610075
ie4h10hfq_ima.fits  G141      0      3       28     59455.42109921 314.18559953570366 28.465446084737778    0 4.970405  2459455.926315957
ie4h10hgq_ima.fits  G141      0      3       29    59455.421805325    315.20234182477 29.482188373804092    1 4.970405 2459455.9270220282
ie4h10hhq_ima.fits  G141      0      3       30    59455.422511245   316.218803152442 30.498649701476097    0 4.970405  2459455.927727904
ie4h10hiq_ima.fits  G141      0      3       31     59455.42321736  317.2355427592993 31.515389308333397    1 4.970405 2459455.9284339733
ie4h10hjq_ima.fits  G141      0      3       32    59455.423923285 318.25200878083706  32.53185532987118    0 4.970405 2459455.9291398525
ie4h10hkq_ima.fits  G141      0      3       33    59455.424629395 319.26873967051506  33.54858621954918    1 4.970405 2459455.9298459156
ie4h10hlq_ima.fits  G141      0      3       34    59455.425335325  320.2852103859186 34.565056934952736    0 4.970405  2459455.930551798
ie4h10hmq_ima.fits  G141      0      3       35     59455.42604143  321.3019325584173  35.58177910745144    1 4.970405  2459455.931257855
ie4h10hnq_ima.fits  G141      0      3       36 59455.426747360005  322.3184012621641 36.598247811198235    0 4.970405  2459455.931963736
ie4h10hoq_ima.fits  G141      0      3       37     59455.42745347  323.3351294696331  37.61497601866722    1 4.970405 2459455.9326697974
ie4h10hpq_ima.fits  G141      0      3       38    59455.428159395  324.3515907973051 38.631437346339226    0 4.970405 2459455.9333756734
ie4h10hqq_ima.fits  G141      0      3       39 59455.428865509995  325.3683243691921  39.64817091822624    1 4.970405 2459455.9340817383
ie4h10hrq_ima.fits  G141      0      3       40 59455.429571429995 326.38477697968483  40.66462352871895    0 4.970405  2459455.934787608
ie4h10hsq_ima.fits  G141      0      3       41    59455.430277545  327.4015098810196  41.68135643005371    1 4.970405 2459455.9354936727
ie4h11huq_ima.fits  G141      0      4        0 59455.467488099996 380.98205745220184                0.0    0 4.970405 2459455.9727023863
ie4h11hvq_ima.fits  G141      0      4        1     59455.46819421 381.99882589280605   1.01676844060421    1 4.970405 2459455.9734084755
ie4h11hwq_ima.fits  G141      0      4        2    59455.468900135  383.0153274536133  2.033270001411438    0 4.970405 2459455.9741143794
ie4h11hxq_ima.fits  G141      0      4        3     59455.46960625    384.03210259974  3.050045147538185    1 4.970405  2459455.974820473
ie4h11hyq_ima.fits  G141      0      4        4     59455.47031217  385.0485961139202 4.0665386617183685    0 4.970405 2459455.9755263715
ie4h11hzq_ima.fits  G141      0      4        5 59455.471018284996  386.0653692483902 5.0833117961883545    1 4.970405  2459455.976232464
ie4h11i0q_ima.fits  G141      0      4        6     59455.47172421  387.0818681269884  6.099810674786568    0 4.970405  2459455.976938366
ie4h11i1q_ima.fits  G141      0      4        7 59455.472430320006  388.0986325442791  7.116575092077255    1 4.970405 2459455.9776444524
ie4h11i2q_ima.fits  G141      0      4        8     59455.47313625  389.1151374578476  8.133080005645752    0 4.970405 2459455.9783503585
ie4h11i3q_ima.fits  G141      0      4        9    59455.473842355 390.13189248740673  9.149835035204887    1 4.970405 2459455.9790564384
ie4h11i4q_ima.fits  G141      0      4       10    59455.474548285  391.1483947187662  10.16633726656437    0 4.970405 2459455.9797623428
ie4h11i5q_ima.fits  G141      0      4       11    59455.475254395  392.1651551127434 11.183097660541534    1 4.970405 2459455.9804684264
ie4h11i6q_ima.fits  G141      0      4       12     59455.47596032  393.1816479563713 12.199590504169464    0 4.970405  2459455.981174324
ie4h11i7q_ima.fits  G141      0      4       13    59455.476666435 394.19841304421425 13.216355592012405    1 4.970405  2459455.981880411
ie4h11i8q_ima.fits  G141      0      4       14    59455.477372355  395.2148958295584  14.23283837735653    0 4.970405  2459455.982586302
ie4h11i9q_ima.fits  G141      0      4       15     59455.47807847  396.2316582351923 15.249600782990456    1 4.970405  2459455.983292387
ie4h11iaq_ima.fits  G141      0      4       16    59455.478784395 397.24814504384995 16.266087591648102    0 4.970405 2459455.9839982805
ie4h11ibq_ima.fits  G141      0      4       17    59455.479490505  398.2648980617523 17.282840609550476    1 4.970405  2459455.984704359
ie4h11icq_ima.fits  G141      0      4       18 59455.480196435004 399.28138956427574   18.2993321120739    0 4.970405  2459455.985410256
ie4h11idq_ima.fits  G141      0      4       19     59455.48090254 400.29813185334206 19.316074401140213    1 4.970405  2459455.986116327
ie4h11ieq_ima.fits  G141      0      4       20     59455.48160847 401.31462067365646  20.33256322145462    0 4.970405  2459455.986822222
ie4h11ifq_ima.fits  G141      0      4       21 59455.482314580004  402.3313669860363 21.349309533834457    1 4.970405 2459455.9875282957
ie4h11igq_ima.fits  G141      0      4       22    59455.483020505 403.34784507751465 22.365787625312805    0 4.970405 2459455.9882341833
ie4h11ihq_ima.fits  G141      0      4       23 59455.483726620005  404.3645967543125 23.382539302110672    1 4.970405  2459455.988940261
ie4h11iiq_ima.fits  G141      0      4       24 59455.484432540004 405.38106478750706 24.399007335305214    0 4.970405 2459455.9896461414
ie4h11ijq_ima.fits  G141      0      4       25    59455.485138655 406.39781311154366 25.415755659341812    1 4.970405 2459455.9903522166
ie4h11ikq_ima.fits  G141      0      4       26     59455.48584458   407.414285838604  26.43222838640213    0 4.970405 2459455.9910581005
ie4h11ilq_ima.fits  G141      0      4       27 59455.486550689995 408.43102410435677 27.448966652154922    1 4.970405 2459455.9917641687
ie4h11imq_ima.fits  G141      0      4       28     59455.48725662  409.4475008547306 28.465443402528763    0 4.970405 2459455.9924700554
ie4h11inq_ima.fits  G141      0      4       29     59455.48796273 410.46423710882664 29.482179656624794    1 4.970405  2459455.993176122
ie4h11ioq_ima.fits  G141      0      4       30    59455.488668655  411.4807044714689 30.498647019267082    0 4.970405 2459455.9938820023
ie4h11ipq_ima.fits  G141      0      4       31    59455.489374765  412.4974373728037 31.515379920601845    1 4.970405  2459455.994588067
ie4h11iqq_ima.fits  G141      0      4       32     59455.49008069  413.5139027237892  32.53184527158737    0 4.970405 2459455.9952939455
ie4h11irq_ima.fits  G141      0      4       33    59455.490786805   414.530640989542 33.548583537340164    1 4.970405  2459455.996000014
ie4h11isq_ima.fits  G141      0      4       34     59455.49149273   415.547104999423 34.565047547221184    0 4.970405 2459455.9967058916
ie4h11itq_ima.fits  G141      0      4       35     59455.49219884 416.56383387744427 35.581776425242424    1 4.970405 2459455.9974119533
ie4h11iuq_ima.fits  G141      0      4       36    59455.492904765  417.5802958756685  36.59823842346668    0 4.970405 2459455.9981178297
ie4h11ivq_ima.fits  G141      0      4       37    59455.493610875  418.5970240831375  37.61496663093567    1 4.970405  2459455.998823891
ie4h11iwq_ima.fits  G141      0      4       38    59455.494316805 419.61349211633205  38.63143466413021    0 4.970405 2459455.9995297715
ie4h11ixq_ima.fits  G141      0      4       39    59455.495022915  420.6302183121443 39.648160859942436    1 4.970405 2459456.0002358314
ie4h11iyq_ima.fits  G141      0      4       40 59455.495728840004  421.6466782987118  40.66462084650993    0 4.970405 2459456.0009417064
ie4h11izq_ima.fits  G141      0      4       41     59455.49643495 422.66340382397175 41.681346371769905    1 4.970405 2459456.0016477657
ie4h12j1q_ima.fits  G141      0      5        0    59455.533657175 476.26075007021427                0.0    0 4.970405  2459456.038868145
ie4h12j2q_ima.fits  G141      0      5        1    59455.534363285  477.2775185108185   1.01676844060421    1 4.970405 2459456.0395742343
ie4h12j3q_ima.fits  G141      0      5        2 59455.535069210004  478.2940200716257  2.033270001411438    0 4.970405  2459456.040280138
ie4h12j4q_ima.fits  G141      0      5        3    59455.535775325 479.31079387664795 3.0500438064336777    1 4.970405  2459456.040986231
ie4h12j5q_ima.fits  G141      0      5        4    59455.536481245 480.32728739082813  4.066537320613861    0 4.970405 2459456.0416921293
ie4h12j6q_ima.fits  G141      0      5        5 59455.537187359994  481.3440611958504  5.083311125636101    1 4.970405 2459456.0423982223
ie4h12j7q_ima.fits  G141      0      5        6    59455.537893285  482.3605600744486  6.099810004234314    0 4.970405 2459456.0431041243
ie4h12j8q_ima.fits  G141      0      5        7 59455.538599395004  483.3773244917393 7.1165744215250015    1 4.970405 2459456.0438102107
ie4h12j9q_ima.fits  G141      0      5        8    59455.539305325  484.3938287347555  8.133078664541245    0 4.970405 2459456.0445161164
ie4h12jaq_ima.fits  G141      0      5        9     59455.54001143 485.41058376431465   9.14983369410038    1 4.970405 2459456.0452221963
ie4h12jbq_ima.fits  G141      0      5       10 59455.540717359996 486.42708599567413 10.166335925459862    0 4.970405 2459456.0459281006
ie4h12jcq_ima.fits  G141      0      5       11     59455.54142347 487.44384571909904 11.183095648884773    1 4.970405 2459456.0466341837
