================== ==================
        time_model         flux_model
2459683.6901238784                1.0
2459683.6921351077                1.0
2459683.6941463375                1.0
2459683.6961575667                1.0
 2459683.698168796                1.0
2459683.7001800253                1.0
 2459683.702191255                1.0
2459683.7042024843                1.0
2459683.7062137136                1.0
 2459683.708224943                1.0
2459683.7102361727                1.0
 2459683.712247402                1.0
 2459683.714258631                1.0
2459683.7162698605                1.0
2459683.7182810903                1.0
2459683.7202923195                1.0
 2459683.722303549                1.0
 2459683.724314778                1.0
 2459683.726326008                1.0
 2459683.728337237                1.0
2459683.7303484664                1.0
2459683.7323596957                1.0
2459683.7343709255                1.0
2459683.7363821547                1.0
 2459683.738393384                1.0
2459683.7404046133                1.0
 2459683.742415843                1.0
2459683.7444270723                1.0
2459683.7464383016                1.0
 2459683.748449531                1.0
  2459683.75046076                1.0
  2459683.75247199                1.0
2459683.7544832192                1.0
2459683.7564944485                1.0
 2459683.758505678                1.0
2459683.7605169076                1.0
 2459683.762528137                1.0
 2459683.764539366                1.0
2459683.7665505954                1.0
 2459683.768561825                1.0
2459683.7705730544                1.0
2459683.7725842837                1.0
 2459683.774595513                1.0
2459683.7766067428                1.0
 2459683.778617972                1.0
2459683.7806292013                1.0
2459683.7826404306                1.0
2459683.7846516604                1.0
2459683.7866628896                1.0
 2459683.788674119                1.0
 2459683.790685348                1.0
 2459683.792696578                1.0
2459683.7947078072                1.0
2459683.7967190365                1.0
 2459683.798730266                1.0
2459683.8007414956                1.0
 2459683.802752725                1.0
 2459683.804763954                1.0
2459683.8067751834                1.0
 2459683.808786413                1.0
2459683.8107976425                1.0
2459683.8128088717                1.0
 2459683.814820101                1.0
2459683.8168313303                1.0
  2459683.81884256                1.0
2459683.8208537893                1.0
2459683.8228650186                1.0
 2459683.824876248                1.0
2459683.8268874777                1.0
 2459683.828898707                1.0
 2459683.830909936                1.0
2459683.8329211655                1.0
2459683.8349323953                1.0
2459683.8369436245                1.0
 2459683.838954854                1.0
 2459683.840966083                1.0
 2459683.842977313                1.0
 2459683.844988542                1.0
2459683.8469997714                1.0
2459683.8490110007                1.0
2459683.8510222305                1.0
2459683.8530334597                1.0
 2459683.855044689                1.0
2459683.8570559183                1.0
 2459683.859067148                1.0
2459683.8610783773                1.0
2459683.8630896066                1.0
 2459683.865100836                1.0
2459683.8671120657                1.0
 2459683.869123295                1.0
2459683.8711345242                1.0
2459683.8731457535                1.0
2459683.8751569833                1.0
2459683.8771682126                1.0
 2459683.879179442                1.0
 2459683.881190671                1.0
2459683.8832019004                1.0
  2459683.88521313                1.0
2459683.8872243594                1.0
2459683.8892355887                1.0
 2459683.891246818                1.0
2459683.8932580478                1.0
 2459683.895269277                1.0
2459683.8972805063                1.0
2459683.8992917356                1.0
2459683.9013029654                1.0
2459683.9033141946                1.0
 2459683.905325424                1.0
 2459683.907336653                1.0
 2459683.909347883                1.0
2459683.9113591122                1.0
2459683.9133703415                1.0
 2459683.915381571                1.0
2459683.9173928006                1.0
  2459683.91940403                1.0
 2459683.921415259                1.0
2459683.9234264884                1.0
 2459683.925437718                1.0
2459683.9274489474                1.0
2459683.9294601767                1.0
 2459683.931471406                1.0
2459683.9334826358                1.0
 2459683.935493865                1.0
2459683.9375050943                1.0
2459683.9395163236                1.0
2459683.9415275534                1.0
2459683.9435387827                1.0
 2459683.945550012                1.0
 2459683.947561241                1.0
2459683.9495724705                1.0
2459683.9515837003                1.0
2459683.9535949295                1.0
 2459683.955606159                1.0
 2459683.957617388                1.0
 2459683.959628618                1.0
 2459683.961639847                1.0
2459683.9636510764                1.0
2459683.9656623057                1.0
2459683.9676735355                1.0
2459683.9696847647                1.0
 2459683.971695994                1.0
2459683.9737072233                1.0
 2459683.975718453                1.0
2459683.9777296823                1.0
2459683.9797409116                1.0
 2459683.981752141                1.0
2459683.9837633707                1.0
   2459683.9857746                1.0
 2459683.987785829                1.0
2459683.9897970585                1.0
2459683.9918082883                1.0
2459683.9938195175                1.0
 2459683.995830747                1.0
 2459683.997841976                1.0
 2459683.999853206                1.0
 2459684.001864435                1.0
2459684.0038756644                1.0
2459684.0058868937                1.0
 2459684.007898123                1.0
2459684.0099093528                1.0
 2459684.011920582 0.9995297455711284
2459684.0139318113 0.9929586980322211
2459684.0159430406 0.9873357090099272
2459684.0179542704  0.986594336525063
2459684.0199654996 0.9861086844322701
 2459684.021976729 0.9857632853008198
 2459684.023987958 0.9855190477303116
 2459684.025999188 0.9853572205877951
2459684.0280104172  0.985267991907781
2459684.0300216465 0.9852466418689695
 2459684.032032876  0.985292104982996
2459684.0340441056 0.9854066789008442
 2459684.036055335 0.9855966672044999
 2459684.038066564 0.9858744455276837
2459684.0400777934 0.9862639977687389
 2459684.042089023 0.9868192470490452
2459684.0441002524 0.9883924722039653
2459684.0461114817 0.9957722633329297
 2459684.048122711                1.0
2459684.0501339408                1.0
  2459684.05214517                1.0
2459684.0541563993                1.0
2459684.0561676286                1.0
2459684.0581788584                1.0
2459684.0601900876                1.0
 2459684.062201317                1.0
 2459684.064212546                1.0
 2459684.066223776                1.0
2459684.0682350053                1.0
2459684.0702462345                1.0
 2459684.072257464                1.0
 2459684.074268693                1.0
 2459684.076279923                1.0
 2459684.078291152                1.0
2459684.0803023814                1.0
2459684.0823136107                1.0
2459684.0843248405                1.0
2459684.0863360697                1.0
 2459684.088347299                1.0
2459684.0903585283                1.0
 2459684.092369758                1.0
2459684.0943809873                1.0
2459684.0963922166                1.0
 2459684.098403446                1.0
2459684.1004146757                1.0
 2459684.102425905                1.0
 2459684.104437134                1.0
2459684.1064483635                1.0
2459684.1084595933                1.0
2459684.1104708225                1.0
 2459684.112482052                1.0
 2459684.114493281                1.0
 2459684.116504511                1.0
  2459684.11851574                1.0
2459684.1205269694                1.0
2459684.1225381987                1.0
2459684.1245494285                1.0
2459684.1265606578                1.0
 2459684.128571887                1.0
2459684.1305831163                1.0
 2459684.132594346                1.0
2459684.1346055754                1.0
2459684.1366168046                1.0
 2459684.138628034                1.0
 2459684.140639263                1.0
 2459684.142650493                1.0
2459684.1446617222                1.0
2459684.1466729515                1.0
 2459684.148684181                1.0
2459684.1506954106                1.0
  2459684.15270664                1.0
 2459684.154717869                1.0
2459684.1567290984                1.0
 2459684.158740328                1.0
2459684.1607515574                1.0
2459684.1627627867                1.0
 2459684.164774016                1.0
2459684.1667852458                1.0
 2459684.168796475                1.0
2459684.1708077043                1.0
2459684.1728189336                1.0
2459684.1748301634                1.0
2459684.1768413926                1.0
 2459684.178852622                1.0
 2459684.180863851                1.0
 2459684.182875081                1.0
2459684.1848863102                1.0
2459684.1868975395                1.0
 2459684.188908769                1.0
2459684.1909199986                1.0
 2459684.192931228                1.0
 2459684.194942457                1.0
2459684.1969536864                1.0
 2459684.198964916                1.0
2459684.2009761455                1.0
2459684.2029873747                1.0
 2459684.204998604                1.0
2459684.2070098333                1.0
 2459684.209021063                1.0
2459684.2110322923                1.0
2459684.2130435216                1.0
 2459684.215054751                1.0
2459684.2170659807                1.0
  2459684.21907721                1.0
 2459684.221088439                1.0
2459684.2230996685                1.0
2459684.2251108983                1.0
2459684.2271221275                1.0
 2459684.229133357                1.0
 2459684.231144586                1.0
 2459684.233155816                1.0
 2459684.235167045                1.0
2459684.2371782744                1.0
2459684.2391895037                1.0
2459684.2412007335                1.0
2459684.2432119627                1.0
 2459684.245223192                1.0
2459684.2472344213                1.0
 2459684.249245651                1.0
2459684.2512568804                1.0
2459684.2532681096                1.0
 2459684.255279339                1.0
2459684.2572905687                1.0
 2459684.259301798                1.0
2459684.2613130272                1.0
2459684.2633242565                1.0
2459684.2653354863                1.0
2459684.2673467156                1.0
 2459684.269357945                1.0
 2459684.271369174                1.0
2459684.2733804034                1.0
 2459684.275391633                1.0
2459684.2774028624                1.0
2459684.2794140917                1.0
 2459684.281425321                1.0
2459684.2834365508                1.0
  2459684.28544778                1.0
2459684.2874590093                1.0
2459684.2894702386                1.0
2459684.2914814684                1.0
2459684.2934926976                1.0
 2459684.295503927                1.0
 2459684.297515156                1.0
 2459684.299526386                1.0
2459684.3015376152                1.0
