================== =================
             t_vis              flux
================== =================
123.37827265262604 604861319.1595459
124.34529215097427 614024463.4341431
125.31177788972855 604917690.6448975
126.27879537642002 614137670.2282715
127.24528044462204 604888817.7443848
  128.212296590209 614102805.7963867
129.17878702282906 604847225.5837402
130.14580182731152 614060712.9907837
 131.1122902482748 604842305.7577515
132.07930505275726  614033407.588623
190.66762804985046 612352784.2249756
 191.6346636414528 603205288.0828857
 192.6011661440134 612561392.7943726
193.56820844113827 603349049.6791992
194.53471764922142 612675247.8190918
195.50175189971924 603454479.8526001
196.46825440227985 612757591.8674316
197.43528798222542 603501462.8028564
198.40178981423378 612762004.5515747
 199.3688240647316 603521494.4875488
 200.3353238850832 612799407.3201904
201.30236349999905 603536715.8453369
202.26887069642544 612717552.2320557
203.23590226471424 603603329.9074097
 204.2024014145136 612819745.3875732
205.16943164169788 603610284.8917236
206.13592877984047 612820627.5712891
 207.1029583364725 603612381.9127197
208.06946150958538 612824454.2078857
209.03648972511292 603585506.5254517
210.00299155712128 612676568.1940308
210.97001776099205 603443540.6173706
 211.9365108758211 612405156.4307251
212.90353573858738 603125865.3721924
213.87002751231194 612121476.8986816
214.83705036342144 602751575.6913452
215.80354750156403 611758223.2524414
216.77057705819607 602445198.0479126
217.73706413805485 611589522.4678345
 218.7040849775076 602283685.4848633
219.67057138681412 611452729.8792114
 220.6375902146101 602223352.8239746
221.60407528281212 611384889.7038574
 222.5710927695036 602079051.4765625
223.53758320212364 611312796.0482788
224.50460605323315 602115985.6494141
 225.4710891097784 611331096.9346313
 226.4381032437086 602041043.7081299
 227.4045842885971 611276358.7167969
286.64365008473396 609436430.0054321
 287.6101525872946 600522281.9776001
288.57719488441944 609667273.3336792
289.54369738698006 600590741.1906128
290.51073230803013 609768860.9993896
 291.4772341400385 600699412.4750977
 292.4442683905363 609694957.7874146
 293.4107695519924 600684299.3619995
  294.377811178565 609789792.5578003
 295.3443183749914 600643027.2182617
  296.311351954937  609674698.421814
 297.2778511047363  600630740.279541
 298.2448833435774 609681114.1660767
299.21138249337673  600584093.095459
 300.1784133911133 609621199.7632446
301.14491052925587 600574796.2280273
 302.1119474619627 609633215.4307251
303.07845063507557 600534225.1690063
 304.0454788506031 609687417.7460938
 305.0119733065367  600599556.328125
305.97900085151196 609632491.8363037
306.94549329578876 600577742.3475342
307.91251949965954 609550830.5540161
308.87901797890663  600486093.920227
 309.8460415005684 609615543.1092529
310.81253930926323  600516102.012207
 311.7795608192682 609620168.7634277
312.74604991078377 600555866.0671387
313.71307007968426 609561005.5657959
314.67955715954304 600594945.9452515
  315.646575987339 609633935.3456421
 316.6130691021681 600553850.4014282
 317.5800932943821  609630557.446228
318.54657769203186  600492379.951416
 319.5135938376188 609593556.4850464
320.48007622361183 600545508.0942383
 321.4470910280943 609528572.5361328
322.41357274353504 600480692.9314575
  323.380586206913 609536761.3098145
 385.9197601675987 607735549.4234009
386.88626132905483  598804976.616394
 387.8532962501049 608013560.3045044
  388.819797411561 599042442.1184692
389.78683836758137  608129528.824646
   390.75334623456 599269734.5749512
 391.7203791439533 608385277.4343262
 392.6868789643049 599321588.3185425
 393.6539105325937 608377372.7593384
 394.6204096823931  599282378.027832
 395.5874405801296 608303324.5015259
 396.5539377182722  599304923.668457
397.52097465097904 608250916.1559448
398.48747849464417 599197645.6549072
399.45450603961945 608241173.6187744
400.42100116610527 599223958.8596802
 401.3880280405283 608200941.4506836
402.35452115535736 599292007.6658325
 403.3215460181236 608267928.7578735
  404.288045167923 599199867.0359497
405.25506868958473 608225368.3515625
406.22156649827957 599241078.4575806
 407.1885886788368 608317522.5492554
 408.1550770998001 599385189.7052002
 409.1220972687006 608446771.7451782
 410.0885843485594 599509664.5998535
411.05560317635536 608759951.0067749
 412.0220962911844 599813763.3963013
412.98912048339844  609019347.107544
413.95560421049595 600059086.3874512
414.92262102663517 609158534.4272461
 415.8891027420759 600348613.2626343
416.85611821711063 609323459.4518433
 417.8225999325514 600267420.0822144
418.78961339592934  609345214.321228
 419.7561004757881 600283435.0562134
420.72311997413635 609252026.5887451
421.68959967792034 600237807.4143677
422.65661112964153 609263961.0960693
484.14562180638313  607279695.550293
 485.1126627624035 598334874.0346069
486.07916325330734 607501501.2183228
487.04619616270065 598533823.0682983
488.01269598305225 607572027.1268921
488.97972889244556  598518948.093811
 489.9462267011404 607585658.9790039
490.91326497495174 598617920.8580933
 491.8797701597214 607637021.5507812
 492.8467997163534 598573899.4807129
 493.8132955133915 607690559.2636719
494.78032372891903 598757821.2019653
495.74681885540485 607722510.9329224
 496.7138457298279 598758215.9197388
497.68033884465694 607744952.8805542
  498.647371083498 598712881.2650146
 499.6138709038496 607723143.4611206
500.58089442551136 598750595.7593994
501.54738418757915 607699731.7404785
 502.5144063681364 598649449.0946045
 503.4808947890997 607646846.3696289
504.44791562855244  598700046.954956
  505.414410084486  607676098.762085
  506.381428912282 598619787.3400879
 507.3479213565588 607617820.0820923
 508.3149388432503  598559002.342102
 509.2814225703478 607565151.6669312
  510.248439386487 598529516.3347778
   511.21492177248 607517601.5906372
 512.1819365769625 598591932.4562988
 513.1484249979258 607577462.2417603
 514.1154458373785 598528684.3295898
 515.0819262117147 607539116.0841675
 516.0489390045404 598448988.6224976
 517.0154187083244 607480826.5115967
 517.9824308305979 598494238.1300659
 518.9489085227251 607485533.3599854
 519.9159206449986 598480609.4071655
 520.8824050426483 607446077.3198242
 580.7547826319933  605527168.197815
 581.7218168824911 596682412.1752319
 582.6883160322905 605734020.4902344
 583.6553489416838 596729114.2675171
 584.6218547970057 605805960.6692505
 585.5888870358467 596889280.1599121
 586.5553915500641 605942893.2856445
 587.5224217772484  596987153.203064
 588.4889182448387  605916805.772522
 589.4559471309185 596991607.3599243
 590.4224422574043   605964492.94281
 591.3894698023796 597002690.0124512
 592.3559709638357 606035867.1532593
  593.323003873229 597051759.7736816
 594.2894963175058 606121125.7935181
 595.2565205097198 597091612.3649292
 596.2230116128922 606128121.4141235
 597.1900337934494 597037557.3010864
 598.1565228849649 606080155.6047974
 599.1235443949699 597023153.6655273
 600.0900395214558 606086976.7523804
 601.0570657253265 597171405.9906006
 602.0235521346331 606091618.7026367
 602.9905702918768 597178435.6138916
 603.9570546895266  606219965.142456
 604.9240708351135 597215567.8200073
  605.890554562211 606104994.5837402
 606.8575767427683 597253113.6939697
  607.824058458209  606272746.248169
 608.7910806387663 597183271.2919312
 609.7575603425503 606200258.0721436
 610.7245738059282  597189650.939209
 611.6910535097122 606173625.3794556
 612.6580656319857  597121034.427124
 613.6245439946651 606158758.2905273
 614.5915628224611 597118285.7080688
 615.5580411851406 606188579.7320557
 616.5250593423843  597076871.670166
 617.4915370345116 606017918.9935913
================== =================
